Log_PyClone_Clusters	ESTIMATE_ImmuneScore
4.459431619	3007.00887
4.700439718	3008.953453
3.906890596	3009.135173
1	3025.810269
1.584962501	3031.581993
4.247927513	3036.522523
4.321928095	3040.80956
4.523561956	3052.905119
3.584962501	3061.245077
3.169925001	3071.578416
5.247927513	3085.391083
2.584962501	3085.525498
4.523561956	3093.774327
5.614709844	3103.412346
4.700439718	3109.737638
3.807354922	3112.326551
4.459431619	3115.139908
3	3117.061075
4.392317423	3121.79119
2	3123.055856
4.247927513	3124.162361
3.321928095	3131.977257
5.209453366	3136.313889
3	3147.835935
2	3163.224848
4.321928095	3166.806439
3.584962501	3173.399953
3.584962501	3180.581111
3.584962501	3191.039004
5.044394119	3198.355413
4.584962501	3199.960613
4.321928095	3200.21816
2	3204.238825
3.321928095	3206.085033
2.807354922	3210.765177
4.95419631	3222.601924
3.584962501	3230.806364
4.857980995	3241.422261
2.321928095	3243.709272
3.807354922	3243.876916
3.584962501	3248.286882
3.169925001	3249.816892
3.700439718	3252.636658
5.209453366	3257.105592
1.584962501	3260.271645
3.584962501	3262.112034
4.807354922	3284.208707
2.807354922	3291.719046
4.584962501	3293.390374
3.169925001	3296.456191
4.700439718	3297.15943
3.906890596	3297.890278
3.321928095	3298.686009
4.087462841	3298.768863
3	3302.144794
3.584962501	3303.405776
3.321928095	3305.754605
4.087462841	3306.300943
4	3306.653637
3.321928095	3314.71912
4.700439718	3316.528831
4.392317423	3332.916275
3.321928095	3335.693413
5.459431619	3337.002112
3.321928095	3345.053076
4.247927513	3347.726057
4.247927513	3351.048029
5.209453366	3353.34101
3.807354922	3356.514874
3	3362.620162
2.807354922	3382.988649
4.087462841	3384.901993
3.584962501	3386.577295
4.700439718	3389.568441
5.044394119	3389.970419
4.392317423	3389.980932
2.584962501	3393.779083
3	3398.836353
4.087462841	3401.313929
3.700439718	3404.35344
3.169925001	3409.294276
4.523561956	3413.810664
4.247927513	3422.361322
4.169925001	3442.270204
6.247927513	3452.037513
4.857980995	3454.390391
2.807354922	3463.032429
