	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
TCGA-AN-A0FW 0.2915198 0 0 0.309495 0 0.2192726 0.1009893 0 0 0 0 0 0
TCGA-AN-A0FX 0.7057328 0 0 0.2718792 0 0 0 0 0 0 0 0 0
TCGA-AN-A0FY 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A0FZ 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A0G0 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A0XL 0.6763021 0.0681368 0 0 0 0 0.08965863 0 0 0 0.1659024 0 0
TCGA-AN-A0XN 0.2169816 0 0 0.5147652 0 0 0 0 0 0.132593 0 0.06924179 0
TCGA-AN-A0XO 0.528293 0.2080752 0 0 0 0 0 0 0 0 0 0.1357498 0.1278821
TCGA-AN-A0XP 0.3208366 0 0 0.1884965 0 0 0 0 0.1678286 0.255558 0 0.06728041 0
TCGA-AN-A0XR 0.8858346 0.06533097 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A0XS 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A0XT 0.9314529 0 0 0 0 0 0 0 0 0 0 0.06017386 0
TCGA-AN-A0XU 0.5154519 0 0.06517854 0.2024896 0.21688 0 0 0 0 0 0 0 0
TCGA-AN-A0XV 0.5768111 0 0 0 0.1270066 0 0 0 0 0.2625242 0 0 0
TCGA-AN-A0XW 0.1744203 0.3182332 0.4841994 0 0 0 0 0 0 0 0 0 0
TCGA-AO-A03M 0.2056432 0.3500268 0.4126228 0 0 0 0 0 0 0 0 0 0
TCGA-AO-A03N 0.617012 0.1664951 0.2031163 0 0 0 0 0 0 0 0 0 0
TCGA-AO-A03R 0.9705497 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AO-A03T 0.209481 0 0.09239379 0.2557156 0.07061519 0.3234923 0 0 0 0 0 0 0
TCGA-AO-A03V 0.7896079 0.09122678 0 0 0.1068329 0 0 0 0 0 0 0 0
TCGA-AO-A0J2 0.3584741 0 0 0.3483125 0 0 0 0 0.1894159 0 0 0 0
TCGA-AO-A0J3 0.5660349 0.1178839 0 0 0 0 0.07243233 0 0 0.2436489 0 0 0
TCGA-AO-A0J5 0.7466873 0 0 0 0 0 0 0 0 0 0.130095 0 0.09203242
TCGA-AO-A0J6 0.2019762 0 0.06807355 0.5531374 0 0 0 0 0 0.1691428 0 0 0
TCGA-AO-A0J7 0.2301136 0.09494999 0 0 0 0 0 0 0 0.6749364 0 0 0
TCGA-AO-A0J8 0.6907822 0 0 0 0 0 0 0 0 0 0.1081434 0 0.1696
TCGA-AO-A0J9 0.4663028 0.4735885 0.06010862 0 0 0 0 0 0 0 0 0 0
TCGA-AO-A0JB 0.3685845 0.0620584 0 0.1676552 0.2278604 0 0 0 0 0 0 0.08321211 0
TCGA-AO-A0JD 0.6049756 0 0 0.3720869 0 0 0 0 0 0 0 0 0
TCGA-AO-A0JF 0 0.07831561 0 0.06746538 0 0.3141076 0 0 0 0 0.1239059 0 0.4162055
TCGA-AO-A0JL 0.5305138 0 0 0 0 0.2291201 0 0 0 0.1367699 0 0 0
TCGA-AO-A124 0.4441438 0 0 0.4267455 0 0 0.103965 0 0 0 0 0 0
TCGA-AO-A128 0.8106322 0 0 0 0 0 0 0 0.1787841 0 0 0 0
TCGA-AO-A129 0.6568715 0 0.1146994 0 0.2106398 0 0 0 0 0 0 0 0
TCGA-AO-A12D 0.6824396 0.236437 0.08112333 0 0 0 0 0 0 0 0 0 0
TCGA-AO-A12E 0.9720275 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AO-A12F 0.8102763 0 0 0 0 0 0 0 0 0.1897237 0 0 0
TCGA-AO-A12G 0.6555657 0.09017919 0 0 0 0 0 0 0 0 0 0.2542551 0
TCGA-AO-A1KO 0 0 0 0 0 0 0.1560483 0 0 0 0 0.4040038 0.352628
TCGA-AO-A1KP 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AO-A1KR 0.4050983 0 0.06943465 0.1823773 0 0.3128575 0 0 0 0 0 0 0
TCGA-AO-A1KS 0.7684301 0.2315699 0 0 0 0 0 0 0 0 0 0 0
TCGA-AO-A1KT 0.721578 0 0 0 0 0 0 0 0.1631558 0 0 0.1152663 0
TCGA-AQ-A04H 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AQ-A04J 0.3181928 0 0 0.4418765 0 0 0.1111626 0 0 0 0 0 0
TCGA-AQ-A04L 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AQ-A0Y5 0.9486554 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AQ-A1H2 0.7535633 0.06521764 0 0 0 0 0 0.07618124 0 0.08546167 0 0 0
TCGA-AQ-A1H3 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A0TS 0 0.08270896 0.08852168 0.2121073 0.08807562 0 0 0 0.5285864 0 0 0 0
