	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
PD4841a 0.5041846 0 0 0.2585896 0 0.166328 0 0 0 0 0 0 0
PD11368a 0.867027 0.132973 0 0 0 0 0 0 0 0 0 0 0
PD11753a 0.6744656 0 0 0.2365462 0 0 0 0 0 0 0 0 0
PD8978a 0.4136599 0 0 0.2601582 0 0.2664776 0 0 0 0 0 0 0
PD8609a 0.6445435 0.2687316 0.08672488 0 0 0 0 0 0 0 0 0 0
PD9696a 0 0 0.1476667 0.5224724 0 0.07029516 0 0 0.1984181 0 0 0 0
PD11336a 0.7433201 0.08931129 0 0 0 0 0 0.06163149 0 0.08210377 0 0 0
PD4955a 0 0 0.07406105 0.5717521 0.06239288 0 0 0 0.2152352 0 0 0 0
PD6410a 0.4561473 0 0.06793396 0.3409155 0 0 0 0 0 0 0 0.09471555 0
PD9002a 0.4513479 0 0 0 0.1752503 0.120298 0 0 0 0.187275 0 0 0
PD13602a 0.7889106 0 0 0.06070483 0 0 0 0 0 0.07574678 0 0 0
PD5942a 0.7772832 0 0 0.1906286 0 0 0 0 0 0 0 0 0
PD13307a 0.7074173 0.2025396 0.09004307 0 0 0 0 0 0 0 0 0 0
PD13765a 0.5320112 0 0 0.06652956 0 0 0.1602082 0 0.1998998 0 0 0 0
PD13163a 0.7773394 0 0.08227675 0.1178199 0 0 0 0 0 0 0 0 0
PD4005a 0.3257839 0.06121054 0.1548753 0.3405584 0 0 0 0 0 0 0 0.06624159 0
PD7069a 0.644813 0.1470885 0.2080985 0 0 0 0 0 0 0 0 0 0
PD7306a 0.8216527 0 0 0.08263665 0 0 0 0 0 0 0 0 0
PD7243a 0.7467756 0.08611565 0 0.1129755 0 0 0 0 0 0 0 0 0
PD4953a 0.2088747 0.06150642 0 0.4681113 0 0.2073633 0 0 0 0 0 0 0
PD18259a 0.3225116 0 0.07657133 0.2921237 0 0 0 0 0.2641126 0 0 0 0
PD4833a 0.4208838 0 0 0.5399365 0 0 0 0 0 0 0 0 0
PD6404a 0.3088306 0 0.1139555 0.1969285 0 0.2575666 0 0 0 0 0 0 0
PD4976a 0.6915874 0 0 0.1283093 0 0 0 0 0 0.1007464 0 0.06892473 0
PD14441a 0.2416374 0 0.06557235 0.2869964 0 0.1583834 0 0 0.098013 0 0 0.0860885 0
PD3904a 0.1338135 0.1014899 0 0.6483166 0 0 0.06516571 0 0 0 0 0 0
PD7316a 0.5579907 0 0 0.389277 0 0 0 0 0 0 0 0 0
PD11348a 0.7215827 0 0 0 0 0 0 0 0 0.2784173 0 0 0
PD11340a 0.8464794 0 0 0.09283589 0 0 0 0 0 0 0 0 0
PD13620a 0.6683714 0 0 0 0 0.1019321 0 0 0 0.1405099 0 0 0
PD14460a 0.697388 0.144299 0.158313 0 0 0 0 0 0 0 0 0 0
PD4954a 0.4155743 0 0 0.4046634 0 0 0 0 0 0 0 0 0
PD13424a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD13609a 0.4544453 0.1274104 0.274179 0.1439652 0 0 0 0 0 0 0 0 0
PD6422a 0.8625682 0 0 0 0 0 0 0 0 0.07740105 0 0 0
PD8610a 0.4021933 0 0.09153541 0.4234758 0 0 0 0 0 0 0 0 0
PD11393a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD18749a 0.4708574 0.1099556 0.3661711 0 0 0 0 0 0 0 0 0 0
PD9760a 0.8459304 0.1013563 0 0 0 0 0 0 0 0 0 0 0
PD9756a 0.7904757 0.1231465 0.08637774 0 0 0 0 0 0 0 0 0 0
PD3890a 0.3341206 0.07274641 0.1095536 0.4513252 0 0 0 0 0 0 0 0 0
PD11397a 0.6592817 0 0 0.1941783 0 0 0 0 0 0 0 0 0
PD4959a 0.8342588 0 0 0.1515434 0 0 0 0 0 0 0 0 0
PD8973a 0.6961911 0.0962571 0.2075518 0 0 0 0 0 0 0 0 0 0
PD7202a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD9464a 0.5814132 0 0.08823896 0.3011878 0 0 0 0 0 0 0 0 0
PD11342a 0.7897001 0.08024526 0 0 0 0 0 0 0.0725942 0 0 0 0
PD4103a 0.736529 0 0.09719999 0 0 0 0 0.06056873 0 0 0 0 0
PD10011a 0.5508691 0 0 0.3580956 0 0 0 0 0 0 0 0 0
PD18048a 0.7913641 0 0 0.1700172 0 0 0 0 0 0 0 0 0
PD8977a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD14457a 0.9683895 0 0 0 0 0 0 0 0 0 0 0 0
PD11388a 0.49078 0.0613641 0 0.1991044 0 0 0 0 0 0.2337328 0 0 0
PD13608a 0.5650436 0.1133387 0.1133697 0 0 0.1936685 0 0 0 0 0 0 0
PD4872a 0.3528433 0 0.09738653 0 0 0.38302 0 0 0 0 0 0.06696253 0
PD6406a 0.3717589 0 0 0.474463 0 0 0 0 0 0 0 0.07299018 0
PD9605a 0.9229614 0 0 0.07292267 0 0 0 0 0 0 0 0 0
PD4836a 0.3117321 0 0 0.1036993 0 0.5110918 0 0 0 0 0 0 0
PD8965a 0.6250175 0.09008959 0 0.2349536 0 0 0 0 0 0 0 0 0
PD13311a 0.3518614 0 0 0.4517443 0 0 0.08426197 0 0 0.06088453 0 0 0
PD8979a 0.9455433 0 0 0 0 0 0 0 0 0 0 0 0
PD18046a 0.7826782 0 0 0.1621776 0 0 0 0 0 0 0 0 0
PD7067a 0.5552179 0 0.06828083 0.2551403 0 0 0 0 0 0.121361 0 0 0
PD7240a 0.7141129 0 0 0 0 0 0 0 0 0.2858871 0 0 0
PD13760a 0.3186395 0 0.07444489 0.3430958 0 0.2638198 0 0 0 0 0 0 0
PD4980a 0.7371205 0 0 0.07360368 0 0 0.1707257 0 0 0 0 0 0
PD13302a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD4876a 0.2503514 0 0 0.4480939 0.112283 0 0 0 0 0 0 0 0.1019492
PD5956a 0.7018 0 0 0.2388181 0 0 0 0 0 0 0 0 0
PD6733b 0.8307419 0 0 0 0 0 0 0 0 0 0 0 0
PD8619a 0.6783866 0 0.08850629 0.1963821 0 0 0 0 0 0 0 0 0
PD5946a 0.9544237 0 0 0 0 0 0 0 0 0 0 0 0
PD9597a 0.6721192 0.2274836 0.1003971 0 0 0 0 0 0 0 0 0 0
PD13623a 0.6730504 0.257063 0 0 0 0 0 0 0 0 0 0 0
PD18050a 0.9810459 0 0 0 0 0 0 0 0 0 0 0 0
PD18189a 0.8361169 0.08864759 0 0 0 0 0 0 0 0 0 0 0
PD11386a 0.5972337 0.147199 0 0 0 0 0 0 0 0.08274254 0 0.1155076 0
PD4198a 0.9361038 0.06389615 0 0 0 0 0 0 0 0 0 0 0
PD11760a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD6729a2 0.8539787 0 0 0.1440365 0 0 0 0 0 0 0 0 0
PD7249a 0.5610745 0.0875387 0.1761557 0 0.1356144 0 0 0 0 0 0 0 0
PD9599a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD13622a 0.4057227 0 0 0.1250075 0 0 0 0 0.2809443 0.1883255 0 0 0
PD5930a 0.1663288 0 0.1227355 0.5735643 0 0 0 0 0.06486461 0 0 0 0
PD5960a 0.2616628 0 0 0.146103 0.2057132 0 0 0 0.07648373 0.2325934 0 0 0
PD7206a 0.8850907 0 0 0.1112939 0 0 0 0 0 0 0 0 0
PD11358a 0.7621418 0.1847009 0 0 0 0 0 0 0 0 0 0 0
PD13630a 0.5158731 0.09856458 0 0.08241307 0 0.1534962 0 0 0.08785448 0 0 0 0
PD8998a 0 0.2749116 0.2133289 0.3767178 0 0 0 0 0 0 0 0.06649109 0
PD4845a 0.5708726 0 0 0.2058189 0 0 0 0 0 0 0 0.2233085 0
PD11357a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD13428a 0.9530234 0 0 0 0 0 0 0 0 0 0 0 0
PD13766a 0.5521486 0.2893813 0.1584701 0 0 0 0 0 0 0 0 0 0
PD14437a 0.9053424 0.07951476 0 0 0 0 0 0 0 0 0 0 0
PD3905a 0.3347659 0 0.09251972 0.4598562 0 0 0 0 0 0 0 0 0
PD4826a 0.3763962 0.1943033 0 0 0 0.3335499 0 0 0 0 0 0 0
PD4255a 0.8720259 0 0 0 0.1279741 0 0 0 0 0 0 0 0
PD6413a 0.1829245 0.07168549 0.07115137 0.2994824 0 0.1662094 0.1069157 0 0.0723134 0 0 0 0
PD11395a 0.9067031 0 0 0 0 0 0 0 0 0.09329688 0 0 0
PD11816a 0.7720811 0.07212471 0 0.1017087 0 0 0 0 0 0 0 0 0
PD14435a 0.6629235 0.07931099 0 0 0 0 0 0 0.2080901 0 0 0 0
PD6048a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD8615a 0.3484468 0.1315466 0.2136036 0.2935776 0 0 0 0 0 0 0 0 0
PD9539a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD11366a 0.6840582 0 0 0 0 0 0 0 0 0.2559707 0 0 0
PD11380a 0.6846103 0 0 0.1622326 0 0 0 0 0 0 0 0 0
PD9752a 0.8697223 0.08036332 0 0 0 0 0 0 0 0 0 0 0
PD4968a 0.8075001 0.1679254 0 0 0 0 0 0 0 0 0 0 0
PD7220a 0.9601686 0 0 0 0 0 0 0 0 0 0 0 0
PD7066a 0.6669873 0 0 0 0 0 0 0 0 0.2010462 0 0 0
PD14462a 0.7195478 0.1050212 0 0 0 0 0 0 0 0.1383454 0 0 0
PD9571a 0.4460901 0 0 0.3318539 0 0 0 0 0 0.1970108 0 0 0
PD5951a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD8620a 0.5340487 0.2447666 0.160608 0 0 0 0 0 0 0 0 0.06057675 0
PD9842a 0.5561391 0 0 0 0 0.2850556 0 0 0 0 0 0 0.1064675
